id,question,context
Q1,"Cosa ritorna il metodo segnaleWow(LocalDate.of(2025, 1, 10)) che utilizza la funzione getMessaggioMagico()?","GiorniMagici.java"
Q2,"Come calcolare la media battuta con 25 valide su 80 turni?","CalcolatoreStatisticheBaseball.java"
Q3,"Quale ERA risulta da 5 punti subiti in 7 inning?","CalcolatoreStatisticheBaseball.java"
Q4,"Come validare una password 'Secret123!'?","GestionePassword.java"
Q5,"Cosa restituisce invertiStringaMantenendoMaiuscole('AbCde')?","AnalizzatoreTesto.java"
Q6,"Come convertire 10km in miglia?","ConvertitoreUnita.java"
Q7,"Quale BMI risulta da 70kg e 1.75m?","CalcolatoreBMI.java"
Q8,"Cosa significa un momentum [12,15] vs [8,10]?","BasketballStats.java"
Q9,"Come cifrare 'HELLO' con Caesar shift 3?","StrumentiCrittografia.java"
Q10,"Quale temperatura a Roma (41.9°) a luglio?","SimulatoreMeteo.java"
Q11,"Cosa restituisce isDataMagica(6, 5, 2030)?","GiorniMagici.java"
Q12,"Come calcolare rata mutuo 100k€ al 4% in 20 anni?","GestioneFinanzePersonali.java"
Q13,"Cosa restituisce getMessaggioMagico(LocalDate.of(2024,12,25))?","DateUtilCustom.java"
Q14,"Come calcolare VAN al 5% per flussi [100,200,300]?","AnalizzatoreInvestimenti.java"
Q15,"Quale complessità ciclomatica per codice con 3 if e 2 while?","AnalizzatoreCodice.java"
Q16,"Cosa restituisce modelloPredaPredatore(100,50,0.1,0.05)?","SimulatoreEcologico.java"
Q17,"Come generare password sicura di 12 caratteri?","GestionePassword.java"
Q18,"Cosa restituisce convertiGrigio(0xFFAABB)?","StrumentiGrafica.java"
Q19,"Come calcolare log base 3 di 27?","CalcolatriceScientifica.java"
Q20,"Quale categoria BMI per 28.7?","CalcolatoreBMI.java"
Q21,"Cosa restituisce isPastDate(1/1/2020)?","DateUtilCustom.java"
Q22,"Come aggiungere 15 giorni al 1/1/2024?","DateUtilCustom.java"
Q23,"Quale ROI per guadagno 1500€ su costo 1000€?","AnalizzatoreInvestimenti.java"
Q24,"Cosa restituisce calcolaEfficienzaGiocatore(20,10,8,2,5)?","BasketballStats.java"
Q25,"Come simulare crescita popolazione 1000 al 2% in 5 anni?","SimulatoreEcologico.java"
Q26,"Cosa restituisce analisiStatisticheSquadra(85, 70, 12, 28)?","BasketballStats.java"
Q27,"Come decifrare 'KHOOR' con Caesar shift 3?","StrumentiCrittografia.java"
Q28,"Quale percussocritico per attività [5,8,3]?","GestoreProgetti.java"
Q29,"Cosa restituisce giorniAlmiocompleannoSpecial(1/1/2000, 'Mario')?","DateUtilCustom.java"
Q30,"Come calcolare radice 5a di 3125?","CalcolatriceScientifica.java"
