id,question,answer,context
17,Create a function in Java for computing the factorial of a positive integer number.,"public static long factorial(int n) {
    if (n == 0) {
        return 1;
    }
    long result = 1;
    for (int i = 1; i <= n; i++) {
        result *= i;
    }
    return result;
}","### Instruction: 
 Create a function in Java for computing the factorial of a positive integer number. 
 ### Response:
 public static long factorial(int n) {
    if (n == 0) {
        return 1;
    }
    long result = 1;
    for (int i = 1; i <= n; i++) {
        result *= i;
    }
    return result;
}"
29,"Create a Java program that prints out the sum of the numbers in the array.
Input: int[] numbers = {1, 2, 3 , 4, 5};","public class SumOfArray {
    public static void main(String[] args) {
        int[] numbers = {1, 2, 3 , 4, 5};
        int sum = 0;
        for(int i=0; i < numbers.length;i++) {
            sum = sum + numbers[i];
        }
        System.out.println(""The sum of numbers in the given array is: "" + sum);
    }
}","### Instruction: 
 Create a Java program that prints out the sum of the numbers in the array. 
 ### Input: int[] numbers = {1, 2, 3 , 4, 5}; 
 ### Response:
 public class SumOfArray {
    public static void main(String[] args) {
        int[] numbers = {1, 2, 3 , 4, 5};
        int sum = 0;
        for(int i=0; i < numbers.length;i++) {
            sum = sum + numbers[i];
        }
        System.out.println(""The sum of numbers in the given array is: "" + sum);
    }
}"
36,"Create a Java program that prints out the contents of a given two-dimensional array.
Input: int[][] arr = {{1,2},{3,4},{5,6}}","public class TwoDArray {

    public static void main(String[] args) {
        int[][] arr = {{1,2},{3,4},{5,6}};

        for(int i=0;i<arr.length;i++){
            for(int j=0;j<arr[i].length;j++){
                System.out.print(arr[i][j]+"" "");
            }
            System.out.println();
        }
    }
}","### Instruction: 
 Create a Java program that prints out the contents of a given two-dimensional array. 
 ### Input: int[][] arr = {{1,2},{3,4},{5,6}} 
 ### Response:
 public class TwoDArray {

    public static void main(String[] args) {
        int[][] arr = {{1,2},{3,4},{5,6}};

        for(int i=0;i<arr.length;i++){
            for(int j=0;j<arr[i].length;j++){
                System.out.print(arr[i][j]+"" "");
            }
            System.out.println();
        }
    }
}"
65,Describe the basic syntax of a Java function?,"A Java function consists of a function name, return type, parameters (arguments), and body. The syntax of a Java function is as follows: 
public <return type> <function name>(<list of parameters>) { 
    // function body 
    <statements> 
}","### Instruction: 
 Describe the basic syntax of a Java function? 
 ### Response:
 A Java function consists of a function name, return type, parameters (arguments), and body. The syntax of a Java function is as follows: 
public <return type> <function name>(<list of parameters>) { 
    // function body 
    <statements> 
}"
83,"Create a class in Java named Puppy that has two instance variables, age and name and two methods, bark and sleep.","public class Puppy { 
   // Instance Variables 
   String name; 
   int age; 
  
   // Constructor 
   public Puppy(String name, int age){ 
      this.name = name; 
      this.age = age; 
   } 
  
   // Methods 
   public void bark(){ 
      System.out.println(""Woof Woof!""); 
   } 
  
   public void sleep(){ 
      System.out.println(""Zzzzzz...""); 
   } 
}","### Instruction: 
 Create a class in Java named Puppy that has two instance variables, age and name and two methods, bark and sleep. 
 ### Response:
 public class Puppy { 
   // Instance Variables 
   String name; 
   int age; 
  
   // Constructor 
   public Puppy(String name, int age){ 
      this.name = name; 
      this.age = age; 
   } 
  
   // Methods 
   public void bark(){ 
      System.out.println(""Woof Woof!""); 
   } 
  
   public void sleep(){ 
      System.out.println(""Zzzzzz...""); 
   } 
}"
116,Write a Java program to reverse a given string.,"public class ReverseString
{ 

    public static void main(String[] args) 
    { 
        String input = ""Hello""; 
        StringBuilder input1 = new StringBuilder(); 
  
        // append a string into StringBuilder input1 
        input1.append(input); 
  
        // reverse StringBuilder input1 
        input1 = input1.reverse(); 
  
        // print reversed String 
        System.out.println(input1); 
    } 
}","### Instruction: 
 Write a Java program to reverse a given string. 
 ### Response:
 public class ReverseString
{ 

    public static void main(String[] args) 
    { 
        String input = ""Hello""; 
        StringBuilder input1 = new StringBuilder(); 
  
        // append a string into StringBuilder input1 
        input1.append(input); 
  
        // reverse StringBuilder input1 
        input1 = input1.reverse(); 
  
        // print reversed String 
        System.out.println(input1); 
    } 
}"
120,Write a Java program to generate random numbers,"import java.util.Random; 
  
public class GenerateRandom { 
  
    public static void main(String[] args) 
    { 
  
        Random rand = new Random(); 
  
        // Generate random integers in range 0 to 999 
        int x = rand.nextInt(1000); 
        System.out.println(""Random Integers: "" + x); 
  
        // Generate Random doubles 
        double y = rand.nextDouble(); 
        System.out.println(""Random Doubles: "" + y); 
  
        // Generate Random Boolean 
        boolean z = rand.nextBoolean(); 
        System.out.println(""Random Boolean: "" + z); 
    } 
}","### Instruction: 
 Write a Java program to generate random numbers 
 ### Response:
 import java.util.Random; 
  
public class GenerateRandom { 
  
    public static void main(String[] args) 
    { 
  
        Random rand = new Random(); 
  
        // Generate random integers in range 0 to 999 
        int x = rand.nextInt(1000); 
        System.out.println(""Random Integers: "" + x); 
  
        // Generate Random doubles 
        double y = rand.nextDouble(); 
        System.out.println(""Random Doubles: "" + y); 
  
        // Generate Random Boolean 
        boolean z = rand.nextBoolean(); 
        System.out.println(""Random Boolean: "" + z); 
    } 
}"
128,Create a function in Java that takes a string and prints the reversed version.,"public static void reverseString(String str) { 
    StringBuilder sb = new StringBuilder(); 
  
    for (int i = str.length() - 1; i >= 0; i--) { 
        sb.append(str.charAt(i)); 
    } 
  
    System.out.print(sb.toString()); 
}","### Instruction: 
 Create a function in Java that takes a string and prints the reversed version. 
 ### Response:
 public static void reverseString(String str) { 
    StringBuilder sb = new StringBuilder(); 
  
    for (int i = str.length() - 1; i >= 0; i--) { 
        sb.append(str.charAt(i)); 
    } 
  
    System.out.print(sb.toString()); 
}"
135,"Create a function in Java to convert a list of strings to a 2D array.
Input: list: [""aa"", ""bb"", ""cc""]","public static String[][] convertTo2DArray(List<String> strings) {
    int n = strings.size();
    String[][] array = new String[n][1];
    for (int i = 0; i < n; i++) {
        array[i][0] = strings.get(i);
    }
    return array;
    
}","### Instruction: 
 Create a function in Java to convert a list of strings to a 2D array. 
 ### Input: list: [""aa"", ""bb"", ""cc""] 
 ### Response:
 public static String[][] convertTo2DArray(List<String> strings) {
    int n = strings.size();
    String[][] array = new String[n][1];
    for (int i = 0; i < n; i++) {
        array[i][0] = strings.get(i);
    }
    return array;
    
}"
145,"Create a Java program which takes an integer array as a parameter, sorts the array in ascending order, and returns the sorted array.
Input: [3, 5, 9, 1, 6]","public int[] SortIntegerArray(int[] nums)
{
    Arrays.sort(nums);
    return nums;
}","### Instruction: 
 Create a Java program which takes an integer array as a parameter, sorts the array in ascending order, and returns the sorted array. 
 ### Input: [3, 5, 9, 1, 6] 
 ### Response:
 public int[] SortIntegerArray(int[] nums)
{
    Arrays.sort(nums);
    return nums;
}"
148,"Create a Java program to take a given string and replace all occurrences of a given letter with another given letter
Input: 'bbac', 'b', 'a'","public String ReplaceLetters(String str, char oldChar, char newChar) {
    return str.replace(oldChar, newChar);
}","### Instruction: 
 Create a Java program to take a given string and replace all occurrences of a given letter with another given letter 
 ### Input: 'bbac', 'b', 'a' 
 ### Response:
 public String ReplaceLetters(String str, char oldChar, char newChar) {
    return str.replace(oldChar, newChar);
}"
169,"Write code in Java to generate the Fibonacci sequence up to N numbers.
Input: N = 10","public class Fibonacci { 
  
    public static void FibonacciN(int n) { 
        int i, f=0, s=1; 
  
        if (n == 1) 
            System.out.print(f+ "" ""); 
  
        else { 
            System.out.print(f+"" ""+s+"" ""); 
  
            for (i = 2; i < n; i++) { 
                int next = f + s; 
                System.out.print(next+"" ""); 
                f= s; 
                s = next; 
            } 
        } 
    } 
}","### Instruction: 
 Write code in Java to generate the Fibonacci sequence up to N numbers. 
 ### Input: N = 10 
 ### Response:
 public class Fibonacci { 
  
    public static void FibonacciN(int n) { 
        int i, f=0, s=1; 
  
        if (n == 1) 
            System.out.print(f+ "" ""); 
  
        else { 
            System.out.print(f+"" ""+s+"" ""); 
  
            for (i = 2; i < n; i++) { 
                int next = f + s; 
                System.out.print(next+"" ""); 
                f= s; 
                s = next; 
            } 
        } 
    } 
}"
171,"Write code in Java to sort an array of integers in ascending order.
Input: [5, 2, 8, 10, 4, 9]","public static void sortAscending(int[] arr) {
    for(int i = 0; i < arr.length - 1; i++) {
        int min = i;
        for (int j = i + 1; j < arr.length; j++) {
            if (arr[j] < arr[min]) {
                min = j;
            }
        }
        int tmp = arr[i];
        arr[i] = arr[min];
        arr[min] = tmp;
    }
}","### Instruction: 
 Write code in Java to sort an array of integers in ascending order. 
 ### Input: [5, 2, 8, 10, 4, 9] 
 ### Response:
 public static void sortAscending(int[] arr) {
    for(int i = 0; i < arr.length - 1; i++) {
        int min = i;
        for (int j = i + 1; j < arr.length; j++) {
            if (arr[j] < arr[min]) {
                min = j;
            }
        }
        int tmp = arr[i];
        arr[i] = arr[min];
        arr[min] = tmp;
    }
}"
186,"Write a Java program to calculate the sum of the two given integers.
Input: Integers: 4 and 9","public static int addIntegers(int a, int b) {
    int sum = a + b;
    return sum;
}

public static void main(String[] args) {
    int x = 4, y = 9;
    int sum = addIntegers(x, y);
    System.out.println(""Sum is: ""+sum);
}","### Instruction: 
 Write a Java program to calculate the sum of the two given integers. 
 ### Input: Integers: 4 and 9 
 ### Response:
 public static int addIntegers(int a, int b) {
    int sum = a + b;
    return sum;
}

public static void main(String[] args) {
    int x = 4, y = 9;
    int sum = addIntegers(x, y);
    System.out.println(""Sum is: ""+sum);
}"
191,Write a function in Java that takes two strings as parameters and returns true if the first string is a substring of the second.,"public boolean isSubstring(String s1, String s2) 
{ 
    int M = s1.length(); 
    int N = s2.length(); 
  
    for (int i = 0; i <= N - M; i++) { 
        int j; 
  
        for (j = 0; j < M; j++) 
            if (s2.charAt(i + j) != s1.charAt(j)) 
                break; 
  
        if (j == M) 
            return true; 
    } 
  
    return false; 
}","### Instruction: 
 Write a function in Java that takes two strings as parameters and returns true if the first string is a substring of the second. 
 ### Response:
 public boolean isSubstring(String s1, String s2) 
{ 
    int M = s1.length(); 
    int N = s2.length(); 
  
    for (int i = 0; i <= N - M; i++) { 
        int j; 
  
        for (j = 0; j < M; j++) 
            if (s2.charAt(i + j) != s1.charAt(j)) 
                break; 
  
        if (j == M) 
            return true; 
    } 
  
    return false; 
}"
243,Write a Java program to print out the first n prime numbers,"public static void printPrimeNumbers(int n) 
    { 
        int num; 
        int count=0;
        for (int i = 2; i <= n;) 
        { 
            num=0; 
            for (int j = 2; j <= i / 2; j++)  
            { 
                if (i % j == 0) 
                { 
                    num++; 
                    break; 
                } 
            } 
            if (num == 0) 
            { 
                System.out.print(i+"" ""); 
                count++; 
            } 
            i++; 
        } 
    }","### Instruction: 
 Write a Java program to print out the first n prime numbers 
 ### Response:
 public static void printPrimeNumbers(int n) 
    { 
        int num; 
        int count=0;
        for (int i = 2; i <= n;) 
        { 
            num=0; 
            for (int j = 2; j <= i / 2; j++)  
            { 
                if (i % j == 0) 
                { 
                    num++; 
                    break; 
                } 
            } 
            if (num == 0) 
            { 
                System.out.print(i+"" ""); 
                count++; 
            } 
            i++; 
        } 
    }"
345,Write a Java program to find the largest element in a given array.,"public class Largest { 
  
    static int getLargest(int[] inputArray){ 
        int largest = inputArray[0]; 
        for(int i = 1; i < inputArray.length; i++){ 
            if(inputArray[i] > largest){ 
                largest = inputArray[i]; 
            } 
        } 
        return largest; 
    } 
      
    public static void main(String[] args){ 
        int[] arr = {10,4,20,5,89}; 
        System.out.println(""Largest element in the array is: ""+getLargest(arr)); 
    } 
}","### Instruction: 
 Write a Java program to find the largest element in a given array. 
 ### Response:
 public class Largest { 
  
    static int getLargest(int[] inputArray){ 
        int largest = inputArray[0]; 
        for(int i = 1; i < inputArray.length; i++){ 
            if(inputArray[i] > largest){ 
                largest = inputArray[i]; 
            } 
        } 
        return largest; 
    } 
      
    public static void main(String[] args){ 
        int[] arr = {10,4,20,5,89}; 
        System.out.println(""Largest element in the array is: ""+getLargest(arr)); 
    } 
}"
348,Create a method in Java to return the largest of three numbers.,"public static int max(int num1, int num2, int num3) {
int max = num1;
if (num2 > max) {
 max = num2;
}
if (num3 > max) {
 max = num3;
}
return max;
}","### Instruction: 
 Create a method in Java to return the largest of three numbers. 
 ### Response:
 public static int max(int num1, int num2, int num3) {
int max = num1;
if (num2 > max) {
 max = num2;
}
if (num3 > max) {
 max = num3;
}
return max;
}"
360,"Edit the Java code to filter out the persons whose age is less than 18.
Input: List<Person> persons = new ArrayList<>();

for (Person person : persons) {
    System.out.println(person.getName());
}","List<Person> persons = new ArrayList<>();

for (Person person : persons) {
    if (person.getAge() >= 18) {
        System.out.println(person.getName());
    }
}","### Instruction: 
 Edit the Java code to filter out the persons whose age is less than 18. 
 ### Input: List<Person> persons = new ArrayList<>();

for (Person person : persons) {
    System.out.println(person.getName());
} 
 ### Response:
 List<Person> persons = new ArrayList<>();

for (Person person : persons) {
    if (person.getAge() >= 18) {
        System.out.println(person.getName());
    }
}"
407,Write code in Java to create a linked list.,"class Node{
    int data; 
    Node next; 
        
    Node(int d){
        data = d; 
        next = null; 
    } 
} 

class LinkedList{ 
    Node head; 
        
    public void insert(int data){ 
        Node node = new Node(data); 
        if (head == null) { 
            head = node; 
        } 
        else { 
            Node n = head; 
            while (n.next != null) { 
                n = n.next; 
            } 
            n.next = node; 
        } 
    } 
}","### Instruction: 
 Write code in Java to create a linked list. 
 ### Response:
 class Node{
    int data; 
    Node next; 
        
    Node(int d){
        data = d; 
        next = null; 
    } 
} 

class LinkedList{ 
    Node head; 
        
    public void insert(int data){ 
        Node node = new Node(data); 
        if (head == null) { 
            head = node; 
        } 
        else { 
            Node n = head; 
            while (n.next != null) { 
                n = n.next; 
            } 
            n.next = node; 
        } 
    } 
}"
