id,punteggio,question,context,answer
Q1,4,"Cosa ritorna il metodo segnaleWow(LocalDate.of(2025, 1, 10)) che utilizza la funzione getMessaggioMagico()?","GiorniMagici.java","'il tuo segnale Wow è :Attenzione agli incantesimi del crepuscolo'"
Q2,5,"Come calcolare la media battuta con 25 valide su 80 turni?","CalcolatoreStatisticheBaseball.java","'0.313'"
Q3,5,"Quale ERA risulta da 5 punti subiti in 7 inning?","CalcolatoreStatisticheBaseball.java","'6.43'"
Q4,5,"Come validare una password 'Secret123!'?","GestionePassword.java","true"
Q5,5,"Cosa restituisce invertiStringaMantenendoMaiuscole('AbCde')?","AnalizzatoreTesto.java","'EdCba'"
Q6,5,"Come convertire 10km in miglia?","ConvertitoreUnita.java","6.21371"
Q7,5,"Quale BMI risulta da 70kg e 1.75m?","CalcolatoreBMI.java","22.86"
Q8,4,"Cosa significa un momentum [12,15] vs [8,10]?","BasketballStats.java","'Momentum fortemente a favore della squadra di casa!'"
Q9,5,"Come cifrare 'HELLO' con Caesar shift 3?","StrumentiCrittografia.java","KHOOR"
Q10,4,"Quale temperatura a Roma (41.9°) a luglio?","SimulatoreMeteo.java","~30.4"
Q11,4,"Cosa restituisce isDataMagica(6, 5, 2030)?","GiorniMagici.java","true (6*5=30)"
Q12,5,"Come calcolare rata mutuo 100k€ al 4% in 20 anni?","GestioneFinanzePersonali.java","605.98"
Q13,4,"Cosa restituisce getMessaggioMagico(LocalDate.of(2024,12,25))?","DateUtilCustom.java","'Riposa e rigenera il tuo potere magico.'"
Q14,5,"Come calcolare VAN al 5% per flussi [100,200,300]?","AnalizzatoreInvestimenti.java","524.47"
Q15,5,"Quale complessità ciclomatica per codice con 3 if e 2 while?","AnalizzatoreCodice.java","6"
Q16,5,"Cosa restituisce modelloPredaPredatore(100,50,0.1,0.05)?","SimulatoreEcologico.java","[nuova_preda, nuovo_predatore]"
Q17,5,"Come generare password sicura di 12 caratteri?","GestionePassword.java","Stringa casuale con maiuscole, numeri e simboli"
Q18,5,"Cosa restituisce convertiGrigio(0xFFAABB)?","StrumentiGrafica.java","0xB3B3B3"
Q19,5,"Come calcolare log base 3 di 27?","CalcolatriceScientifica.java","3.0"
Q20,5,"Quale categoria BMI per 28.7?","CalcolatoreBMI.java","'Sovrappeso'"
Q21,5,"Cosa restituisce isPastDate(1/1/2020)?","DateUtilCustom.java","true"
Q22,5,"Come aggiungere 15 giorni al 1/1/2024?","DateUtilCustom.java","16/01/2024"
Q23,5,"Quale ROI per guadagno 1500€ su costo 1000€?","AnalizzatoreInvestimenti.java","50%"
Q24,5,"Cosa restituisce calcolaEfficienzaGiocatore(20,10,8,2,5)?","BasketballStats.java","31"
Q25,5,"Come simulare crescita popolazione 1000 al 2% in 5 anni?","SimulatoreEcologico.java","1104"
Q26,5,"Cosa restituisce analisiStatisticheSquadra(85, 70, 12, 28)?","BasketballStats.java","Report con 85 punti e ratio 0.43"
Q27,5,"Come decifrare 'KHOOR' con Caesar shift 3?","StrumentiCrittografia.java","HELLO"
Q28,4,"Quale percussocritico per attività [5,8,3]?","GestoreProgetti.java","16"
Q29,4,"Cosa restituisce giorniAlmiocompleannoSpecial(1/1/2000, 'Mario')?","DateUtilCustom.java","Messaggio personalizzato con giorni rimanenti"
Q30,5,"Come calcolare radice 5a di 3125?","CalcolatriceScientifica.java","5.0"
